"Country Code","Country","State Code","State","District","Observation Name","Lattitude","Longitude","Faecal Coliform","Total Coliform","Dissolved Oxygen","BOD","Nitrate + Nitrite","Conductivity","pH","SAR","COD"
"01","INDIA","35","UTTARPRADESH","AGRA","WATER WORKS, NEAR INTAKE","N27°12’09.9”","E078°01’59.0”","7","500","6.2","4","4.76","614","7.47","1.54","18"
"01","INDIA","35","UTTARPRADESH","AGRA","HATHI GHAT NEAR RAILWAY BRIDGE, AGRA FORT","N27°11’26.8”","E078°01’33.7”","26","900","6","4","3.75","690","6.92","1.86","16"
"01","INDIA","35","UTTARPRADESH","AGRA","EAST GATE OF TAJ MAHAL AT DASAHARA GHAT","N27°10’34.5”","E078°02’38.9”","400","6000","5.2","15","2.31","740","6.98","1.94","64"
"01","INDIA","35","UTTARPRADESH","AGRA","KAILASH GHAT NEAR KAILASH VILLAGE, UP STREAM","N27°14’18.5”","E077°56’08.5”","170","1600","6.1","5","5.67","550","7.5","1.23","22"
"01","INDIA","12","GUJARAT","AHMADABAD","NARODA GIDC OUTLET TO MEGA PIPELINE","N 23°04’40.0”","E072°39’50.7”","300","1600","<1","23","4.3","3000","7.1","21.28","84"
"01","INDIA","12","GUJARAT","AHMADABAD","KHARICUT UPSTREAM NEAR NARODA GIDC","N 23°04’40.8”","E072°39’51.1’’","30","50","7.2","3","3.18","254","8.1","0.38","12"
"01","INDIA","12","GUJARAT","AHMADABAD","OUTLET OF ODHAV CETP, GIDC ODHAV","N 23°01’27.0”","E072°38’43.3”","17","22","1.4","80","7.68","9500","7.2","20.92","374"
"01","INDIA","12","GUJARAT","AHMADABAD","OUTLET OF GVMM CETP, GVMM INDUSTRIAL AREA.","N 23°01’19.0”","E072°40’47.5”","2","14","2.8","45","9.47","7000","6.8","6.73","182"
"01","INDIA","26","ORISSA","ANUGUL","LINGRA NALLA UPSTREAM","N 20°50.383’","E 85°04.631’","<2","4","5.6","8","3.66","700","7.28","2.94","32"
"01","INDIA","26","ORISSA","ANUGUL","LINGRA NALLA DOWNSTREAM","N 20°49.206’","E 85°05.343’","<2","12","6","4","2.3","720","7.46","1.64","20"
"01","INDIA","26","ORISSA","ANUGUL","BRAMHANI RIVER UPSTREAM","N 20°59.338’","E 85°15.313’","<2","4","6.2","3","0.25","132","7.86","0.23","12"
"01","INDIA","26","ORISSA","ANUGUL","BRAMHANI RIVER DOWNSTREAM","N 20°54.968’","E 85°14.306’","<2","6","6.1","2","0.25","130","7.8","0.23","10"
"01","INDIA","26","ORISSA","ANUGUL","` NANDIRA RIVER","N 20°55.873’","E 85°09.210’","<2","9","5.9","3","0.9","500","7.93","0.79","12"
"01","INDIA","26","ORISSA","ANUGUL","NTPC KANIHA TIKRA RIVER","N 21°05.887’","E 85°03.09.4’","<2","4","6.1","2","0.23","330","7.99","0.41","8"
"01","INDIA","26","ORISSA","ANUGUL","SHINGAZORT (KHAINA)","N 21°59.318’","E 85°10.026’","<2","4","5.8","3","0.23","130","8.13","0.23","12"
"01","INDIA","26","ORISSA","ANUGUL","ANKURA","N 21°25.090’","E 85°04.105’","<2","2","6","2","0.23","790","7.95","0.68","8"
"01","INDIA","12","GUJARAT","BHARUCH","AMLA KHADI","N 21°36’52.80’’","E 072°59’59.09’’","<2","5","2.4","7","0.93","1700","7.84","4.59","28"
"01","INDIA","12","GUJARAT","BHARUCH","VAND KHADI","N 21°34’17.70’’","E 072°58’25.70’’’","7","20","4.2","4","0.7","1200","6.74","2.14","20"
"01","INDIA","12","GUJARAT","BHARUCH","AMARAVATHI RIVER","N 21°38’48.32’’","E 073°04’49.24’’","8","50","5.3","3","2.27","950","7.65","2.6","12"
"01","INDIA","12","GUJARAT","BHARUCH","CHAPRA KHADI","N 21°40’38.10’’","E 073°00’58.10’’","5","21","1.6","26","1.4","4880","7.46","10.43","78"
"01","INDIA","12","GUJARAT","BHARUCH","CETP OUTLET WATER","N 21°37’’10.06’’","E 072°59’04.6’’","30","140","1.1","105","7.15","5000","7.13","8.62","368"
"01","INDIA","36","WEST BENGAL","BARDAMAN","DAMODAR RIVER NEAR SURYANAGAR","N 23°38.647’","E 086°53.857’","<2","140","5.9","2","0.46","205","8.18","0.73","8"
"01","INDIA","36","WEST BENGAL","BARDAMAN","BARAKAR RIVER NEAR KULTI","N 23°44.830’","E 086°48.905’","7","280","5.6","3","0.25","164","8.56","0.7","12"
